0:19:26,0:20:12,8,19,19,4313653503612334055,0,0
0:20:20,0:21:58,8,15,15,3728697569853483998,0,0
0:18:54,0:20:27,8,17,17,-8988819112016023796,0,2
0:17:16,0:18:26,7,15,15,-754562700184866559,0,1
0:23:48,0:25:59,8,22,22,-1784950198781233116,0,3
0:19:33,0:20:45,7,20,20,6938105777304962064,0,2
0:16:59,0:17:52,8,11,11,-7111012786070639993,0,1
0:19:51,0:20:43,8,15,15,-2251751714898391150,0,3
0:19:07,0:20:01,8,16,16,-5014093050171118228,1,0
0:20:01,0:20:46,8,18,18,-6017940787509685208,0,3
0:28:34,0:30:32,8,15,15,1551358556069634705,0,2
0:17:30,0:18:29,7,21,21,-1246274563275051847,0,0
0:20:33,0:21:18,8,16,16,5199690925833751322,0,0
0:14:33,0:16:50,7,15,15,1128456706768820772,0,2
0:25:40,0:26:38,8,8,8,1301061812318638531,0,1
0:20:35,0:24:07,8,25,25,2666127761053788327,0,0
0:32:23,0:33:38,8,18,18,7337909186639163705,0,0
0:26:29,0:27:49,8,12,12,914978172080475711,1,0
0:17:18,0:19:16,12,21,21,-1500976654488369626,0,1
0:21:49,0:22:41,7,14,14,-5525461912599676622,0,3
0:18:23,0:19:13,8,15,15,-6985251851557883577,0,3
0:20:18,0:21:35,10,13,13,6748784873698010177,0,1
0:32:39,0:33:35,8,20,20,8166197416839075341,0,0
0:26:50,0:27:42,7,16,16,1226569575576189423,0,2
0:22:37,0:23:23,7,25,25,5514993881273359817,0,0
0:18:30,0:19:25,8,15,15,-3372268324785695291,0,0
0:25:05,0:26:03,7,15,15,1862982689539584838,0,1
0:18:45,0:19:33,7,19,19,-8272557061241553609,0,2
0:24:48,0:26:56,9,10,10,3923347886449869339,1,1
0:22:23,0:31:58,8,21,21,-3487561681884515857,1,0
0:17:58,0:19:10,8,12,12,-7666456155617257954,0,2
0:19:36,0:21:09,8,11,11,7326034728268644370,0,1
0:22:24,0:23:37,7,20,20,-5976963178872147932,0,1
0:22:16,0:23:32,8,13,13,-6339985037530572678,0,0
0:20:17,0:21:37,8,15,15,-5766792285794479090,0,1
0:22:00,0:23:54,9,14,14,-539330315975932899,0,3
0:16:48,0:18:26,8,7,7,1419594429232276474,0,2
0:19:41,0:21:10,7,17,17,638241160647124627,0,1
